Country,Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Sweetness,Moisture
Myanmar,2014,7.42,7,7.08,7,7.17,7.33,10,10,0
Nicaragua,2014,6.83,7.08,6.92,6.75,7.25,7.08,10,10,0.11
Panama,2014,7.625,7.54,7.5,7.58,7.5,7.875,10,10,0.1
Peru,2014,7.42,7.75,7.42,7.67,7.92,7.83,8.67,9.33,0
Philippines,2014,7.47,7.36,7.446666667,7.276666667,7.413333333,7.5,10,10,0.046666667
"Tanzania, United Republic Of",2014,7.556428571,7.423214286,7.425357143,7.5175,7.454642857,7.477857143,10,10,0.121785714
Thailand,2014,7.568,7.582,7.45,7.75,7.418,7.568,9.866,10,0.12
Uganda,2014,7.866,7.834,7.732,7.7,7.7,7.7,10,8.6,0.092
United States,2014,7.625,7.641,7.587,7.7015,7.7165,7.646,9.2665,9.404,0.0495
Vietnam,2014,7.333333333,7.443333333,7.47,7.5,7.556666667,7.473333333,9.776666667,10,0.076666667
Zambia,2014,7.67,7.08,7.42,7.33,7.75,7.42,10,10,0
Brazil,2015,7.583333333,7.553333333,7.58,7.5,7.583333333,7.526666667,10,10,0.11
China,2015,7.750833333,7.736666667,7.583333333,7.666666667,7.633333333,7.654166667,10,10,0.103333333
Colombia,2015,7.795333333,7.69,7.637333333,7.749333333,7.771333333,7.711333333,9.778,10,0.077333333
Costa Rica,2015,7.757272727,7.500909091,7.500909091,7.463636364,7.362727273,7.577272727,9.697272727,10,0.067272727
Ethiopia,2015,7.79,7.915,7.83,8.045,7.875,7.955,10,10,0.11
Guatemala,2015,7.625,7.595714286,7.290714286,7.697142857,7.53,7.435714286,10,10,0.109285714
Honduras,2015,7.465833333,7.360833333,7.153333333,7.418333333,7.34,7.299166667,10,10,0.1125
India,2015,7.7525,7.79,7.73,7.75,7.7475,7.77,10,7.77,0.05
Indonesia,2015,7.6025,7.625,7.395,7.6675,7.6675,7.6025,9.8325,10,0.125
Kenya,2015,8.17,7.83,7.92,7.75,7.67,7.83,10,10,0.11
Laos,2015,7.42,7.5,7.25,7.33,7.5,7.5,10,10,0.12
Mexico,2015,7.665,7.585,7.375,7.46,7.46,7.415,10,10,0.115
Myanmar,2015,7.287142857,7.38,7.131428571,7.464285714,7.284285714,7.105714286,10,10,0.015714286
Nicaragua,2015,7.236666667,7.318333333,7.29,7.348333333,7.375,7.29,10,10,0.113333333
Philippines,2015,7.58,7.58,7.67,7.58,7.5,7.5,10,10,0.11
Rwanda,2015,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,0.11
"Tanzania, United Republic Of",2015,7.666666667,7.473333333,7.443333333,7.473333333,7.53,7.473333333,10,10,0.13
Thailand,2015,7.67,7.75,7.5,7.67,7.67,7.83,10,10,0.1
Uganda,2015,7.605,7.6675,7.48,7.5425,7.6475,7.5625,10,10,0.1175
Brazil,2016,7.462777778,7.472222222,7.426111111,7.467777778,7.476666667,7.403333333,9.814444444,9.962777778,0.104444444
Burundi,2016,7.08,7.25,7.17,7.33,7.08,7.08,10,10,0.12
Colombia,2016,7.649583333,7.66,7.564583333,7.577083333,7.61125,7.710416667,10,10,0.022916667
Costa Rica,2016,7.61,7.596666667,7.57,7.668333333,7.613333333,7.626666667,10,10,0.083333333
Cote d?Ivoire,2016,7.42,7.25,6.83,7,7.33,7.08,9.33,10,0.13
Ecuador,2016,7.625,7.625,7.54,7.665,5.125,6.54,10,8.085,0
Ethiopia,2016,7.585,7.665,7.375,7.665,7.71,7.545,10,10,0.11
Guatemala,2016,7.6385,7.629,7.4165,7.741,7.596,7.5205,9.933,9.933,0.1045
Honduras,2016,7.615,7.6675,7.48875,7.56375,7.6675,7.5525,10,10,0.10375
India,2016,7.67,7.33,7.17,6.67,7.17,7.42,9.33,6.67,0
Indonesia,2016,7.42,7.33,7.335,7.335,7.335,7.29,10,10,0.125
Mexico,2016,7.46,7.295,7,7.375,7.455,7.04,10,10,0.11
